distance_bin,"Striped red mullet, stokes, surface, noslip","Striped red mullet, no stokes, surface, noslip","Striped red mullet, no stokes, all depths, noslip"
15.0,0.2124289966326449,0.11835983838313273,0.10323074619822568
45.0,0.13420731575442302,0.10984596311191874,0.1017446191341307
75.0,0.0735555779538081,0.058972629015002775,0.0631754915324179
105.0,0.04915343786878904,0.04949933213597078,0.05988570603732213
135.0,0.03506650240676931,0.04954009038977102,0.06424187629835176
165.0,0.027370966682281967,0.044786541422868545,0.05398096868819629
195.0,0.02516043088434286,0.03860029177250545,0.04513058859876571
225.0,0.02531438883239451,0.03749252325339273,0.04396276164021766
255.0,0.025827315049830216,0.050455575534162606,0.046549681399506763
285.0,0.030564917821083483,0.060461628686553935,0.050148730830696014
315.0,0.0338003777052691,0.06194881586475598,0.052884877271912496
345.0,0.03756843255577845,0.05544581311667082,0.05171313723483298
375.0,0.0390475775609772,0.04876287936450429,0.04769295187582721
405.0,0.03880659628083818,0.045790676276976874,0.04333027927898289
435.0,0.03675667159609585,0.039988170900082505,0.03712365737702077
465.0,0.035080281412733054,0.030656883128804206,0.029907465867835104
495.0,0.031955155592589754,0.023474552457991446,0.023647141415958868
525.0,0.02709922067683348,0.01850105547698597,0.01914515831565192
555.0,0.021273770145505216,0.013697609634354936,0.015140037610908213
585.0,0.017222298621120048,0.010241836367491201,0.011577591054532398
615.0,0.012103239780275863,0.008147013755589114,0.009594335476764512
645.0,0.008703491094110203,0.006482313923441905,0.007945174050889974
675.0,0.006032907544366223,0.006256219339923431,0.005991130541484437
705.0,0.004174868779792169,0.004855471678801402,0.004293643082289778
735.0,0.0032023164780588713,0.0031778491583126125,0.0029683444343085457
765.0,0.0022730412048047243,0.001958391448199448,0.0020327662386032063
795.0,0.001723548933290024,0.0011735395195982146,0.0013477363392816527
825.0,0.0014536562245469251,0.0006413603332902802,0.0008700010241951032
855.0,0.0011462249060225547,0.00034810195561093784,0.00043004813446212767
885.0,0.0007911026523702339,0.00019170290299494979,0.0001888241258667412
915.0,0.000482703878960206,9.844495855398028e-05,7.978381698628593e-05
945.0,0.0003028881911878564,7.402960696885585e-05,3.0960240109781804e-05
975.0,0.00021060591716491443,5.4093872465995526e-05,1.0594800798452484e-05
1005.0,0.00011048878881313383,1.6014588760659356e-05,2.1111754645906036e-06
1035.0,2.2278666725428074e-05,2.2305006854643383e-06,9.89163975192952e-07
1065.0,3.7184953162261464e-06,5.161629052098809e-07,8.969322615094348e-08
1095.0,1.8311931667012161e-06,0.0,0.0
1125.0,6.903105159523619e-07,0.0,0.0
1155.0,1.6492640405758401e-07,0.0,0.0
1185.0,0.0,0.0,0.0
